CREATE TABLE Room(roomID int Primary Key not Null, name text not null, description text not null, visited int not null, visible int not null)
INSERT INTO Room(roomID, name, description, visited, visible) Values(1, 'Start', 'You wake up drowsy and confused. You see a light to the East.', 0, 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(40, 'Cerberus Gate', 'A three headed dog with a large tag named “Cerberus” approaches ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(41, 'Cave Exit ', 'This seems to the it for the journey of the cave and onto another journey ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(42, 'Desert Trail ', 'Another scorching trail for you to follow ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(43, 'Lonely Road ', 'Road deserted and feeling uncomfortable ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(44, 'Village Entrance ', 'Entrance to a warm village ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(45, 'North Village ', 'A big North section filled mostly with living ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(46, 'Central Village ', 'Center of a village ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(47, 'South Village ', 'The Southern portion of the village ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(48, 'Village Shop ', 'A shop filled with items ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(49, 'Inn ', 'A Cozy little area ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(50, 'Village Tavern ', 'A Tavern full of all sorts of Meads ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(51, 'Final Boss Room ', 'A Large figure appears before you and attempts to attack you ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(52, 'Exit ', 'You have made your way through this strange place congrats ', 0 , 1)
INSERT INTO Room(roomID, name, description, visited, visible) Values(53, 'Town Tavern', 'A tavern in the middle of a large field', 0, 1 )
