CREATE TABLE Exit(exitID int Primary Key not Null, roomID int not null, direction text not null, destination int not null, hidden int not null)
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(1, 1, 'EAST',2 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(21, 13, ' ',10 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(22, 13, ' ',14 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(23, 14, ' ',15 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(24, 14, ' ',53 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(25, 14, ' ',15 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(26, 15, ' ',16 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(27, 15, ' ',19 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(28, 16, ' ',15 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(29, 16, ' ',17 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(30, 17, ' ',16 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(31, 17, ' ',18 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(32, 18, ' ',17 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(33, 19, ' ',15 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(34, 19, ' ',20 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(35, 20, ' ',19 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(36, 20, ' ',21 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(37, 21, ' ',20 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(38, 21, ' ',22 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(39, 21, ' ',23 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(40, 22, ' ',21 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(41, 23, ' ',24 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(42, 23, ' ',21 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(43, 24, ' ',23 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(44, 24, ' ',25 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(45, 25, ' ',24 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(46, 25, ' ',26 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(47, 26, ' ',25 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(48, 26, ' ',27 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(49, 26, ' ',29 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(50, 27, ' ',26 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(51, 27, ' ',28 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(52, 28, ' ',30 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(53, 29, ' ',26 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(54, 29, ' ',35 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(55, 30, ' ',31 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(56, 31, ' ',30 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(57, 31, ' ',32 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(58, 32, ' ',31 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(59, 32, ' ',33 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(60, 32, ' ',34 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(61, 33, ' ',32 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(62, 34, ' ',33 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(63, 34, ' ',41 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(64, 35, ' ',36 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(65, 35, ' ',39 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(66, 36, ' ',35 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(67, 36, ' ',37 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(68, 37, ' ',36 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(69, 37, ' ',38 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(70, 38, ' ',40 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(71, 38, ' ',37 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(72, 39, ' ',35 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(73, 39, ' ',40 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(74, 40, ' ',38 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(75, 40, ' ',39 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(76, 40, ' ',41 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(77, 41, ' ',40 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(78, 41, ' ',34 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(79, 41, ' ',42 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(80, 42, ' ',41 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(81, 42, ' ',43 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(82, 43, ' ',42 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(83, 43, ' ',44 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(84, 44, ' ',43 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(85, 44, ' ',45 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(86, 45, ' ',44 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(87, 45, ' ',51 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(88, 45, ' ',46 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(89, 46, ' ',45 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(90, 46, ' ',48 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(91, 46, ' ',47 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(92, 47, ' ',46 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(93, 47, ' ',49 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(94, 47, ' ',50 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(95, 48, ' ',46 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(96, 49, ' ',47 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(97, 50, ' ',47 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(98, 51, ' ',45 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(99, 51, ' ',52 ,0 )
INSERT INTO Exit (exitID, roomID, direction, destination, hidden) Values(100, 52, ' ',51 ,0 )
